title,factuality_score
BRCA1 gene|BRCA1,0.2977023
Female Breast Cancer,0.2977023
BRCA1 gene|BRCA1,0.0019980
bone morphogenetic protein 6,0.0369630
BRCA2 gene|BRCA2,0.2977023
BRCA1 Protein|BRCA1,0.0019980
BRCA1 gene|BRCA1,0.0129870
BRCA2 gene|BRCA2,0.0019980
